Instancia,Nodos,Variables,Restricciones,Tiempo_s,Gap_Porcentaje,Funcion_Objetivo
br17.atsp,17,305,306,1.0,0.0,39.0
ftv33.atsp,34,1189,1190,0.51,0.0,1286.0
ftv55.atsp,56,3191,3192,0.99,0.0,1608.0
ftv64.atsp,65,4289,4290,2.76,0.0,1839.0
ftv70.atsp,71,5111,5112,3.02,0.0,1950.0
kro124p.atsp,100,10099,10100,5.1,0.0,36230.0
ftv170.atsp,171,29411,29412,7.49,0.0,2755.0
rbg323.atsp,323,104651,104652,16.7,0.0,1326.0
rbg358.atsp,358,128521,128522,15.37,0.0,1163.0
rbg403.atsp,403,162811,162812,55.58,0.0,2465.0
