Grupo;Instancia;Nodos;Vars;Restr;Tiempo (s);Gap (%);Best Bound;Objetivo
Pequeños;br17.atsp;17;544;322;0.0952;0.0;39.0;39.0
Pequeños;ftv33.atsp;34;2244;1223;0.2571;0.0;1286.0;1286.0
Pequeños;ftv55.atsp;56;6160;3247;1.0664;0.0;1608.0;1608.0
Medianos;ftv170.atsp;171;58140;29582;50.2164;0.0;2755.0;2755.0
Medianos;ftv64.atsp;65;8320;4354;2.0199;0.0;1839.0;1839.0
Medianos;ftv70.atsp;71;9940;5182;2.0864;0.0;1950.0;1950.0
Medianos;kro124p.atsp;100;19800;10199;6.2437;0.0028;36229.0;36230.0
Grandes;rbg323.atsp;323;208012;104974;30.3857;0.0;1326.0;1326.0
Grandes;rbg358.atsp;358;255612;128879;51.4914;0.0;1163.0;1163.0
Grandes;rbg403.atsp;403;324012;163214;190.7615;0.0;2465.0;2465.0
